"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.0722652518850431,0.0811400019817875,0.286502291715804,0.0919632171474229,0.0953457708525129,0.195864693838829,0.0276831874399516,0.0319580548686446,0.0839832545846159,0.0167227291266102,0.0111935756101222,0.0338740943277721
"2",1999,0.0692965589997877,0.08495164182802,0.273483013213948,0.0940311416712076,0.0769931485955428,0.139287615990594,0.0268967918248729,0.0279986423578706,0.0735630620223201,0.0122745535307347,0.00882474443917756,0.00286393787413103
"3",2000,0.0806222293048341,0.0816078991884301,0.224343198993382,0.0959916501916951,0.0786694755191051,0.156789547264977,0.0265319338419414,0.0282688021712919,0.0826918316879141,0.0128249590823201,0.0136461209596138,0.0222271901482462
"4",2001,0.0772168661478229,0.0770080807055188,0.255296364986976,0.0812954168696823,0.0890580931948022,0.159588544803098,0.020675127240886,0.028136050773551,0.0659848209486029,0.0163342701190752,0.0109363984388676,0.0289757426288949
"5",2002,0.0763627016877598,0.0963369156681603,0.282727649587804,0.0991392616071729,0.112792922147385,0.163494033012988,0.0213439045071215,0.0189707991315121,0.0809592462236955,0.0169351240326227,0.0142713892191741,0.0317775305547483
"6",2003,0.0847818727674343,0.0993602732836602,0.324235693086579,0.0996430064158492,0.105868169155336,0.21442411117104,0.0142495611034108,0.0255623697078557,0.156940003761952,0.00921236079116382,0.0122041463433971,0.0234887431005444
"7",2004,0.0935631314169866,0.123094003835296,0.318817881743143,0.0994070335382268,0.112184587510816,0.192394636384346,0.0174990328013429,0.0328592873277274,0.0679328571112868,0.0128111112592878,0.0141066371443998,0.0217430088717139
"8",2005,0.0953575515924125,0.107236297987724,0.323328433714321,0.101013564268451,0.108509024315489,0.17079914725665,0.0138469245401369,0.0304300127965513,0.0549955146573887,0.0160499820703319,0.0216498414315652,0.0338228560567245
"9",2006,0.0974744953664717,0.112527666655092,0.329545663093352,0.107413512406911,0.123239306384742,0.191967340272712,0.0202156835585636,0.0234903088148746,0.0842081023324149,0.0188233779847133,0.0229974390524021,0.0411067462646558
"10",2007,0.109588989770235,0.127971063692238,0.361355477119695,0.111085311279684,0.131582685318695,0.231077446324419,0.0275452265718466,0.0313891368059873,0.0960871694615145,0.0164705248932604,0.0302927696619956,0.0310660081964288
"11",2008,0.121458466481277,0.124096583243685,0.382302542531148,0.115016204413018,0.128707588853077,0.244527272918932,0.0212644813137952,0.0279027364163242,0.0851536277036292,0.0218159358614959,0.0408676883253425,0.0587633633701059
"12",2009,0.130058373386821,0.138986126879719,0.423968833975864,0.115279552985345,0.147377232705324,0.255075189804184,0.0285362886189485,0.0368710043305708,0.0911770631223286,0.0267960080297484,0.0352939993589492,0.0596315437525536
"13",2010,0.118154023089582,0.141648720788642,0.395536195931582,0.140187856468816,0.156581645572539,0.261426183707476,0.0345920686419204,0.038419947833115,0.126204293799197,0.027989901012471,0.024407775784245,0.0602289538276432
"14",2011,0.139494953931733,0.158322980473222,0.411497902203294,0.140419656968942,0.168857003554532,0.275521001352556,0.0416916309692066,0.048016635537155,0.130417415426852,0.0385063647402644,0.0425687879348768,0.0574742032292065
"15",2012,0.159602826528777,0.190943514602925,0.467403272389808,0.171148724881316,0.173310322523941,0.310616099009812,0.0421852491148763,0.0596185665796223,0.148205421092496,0.0426507656895003,0.0403502786541905,0.0721544209027084
"16",2013,0.165537405135682,0.202077383187049,0.385485853894383,0.186925157451994,0.195954403383414,0.290411021686301,0.0449057692151913,0.0477778594385641,0.143103604120792,0.0465797253194643,0.031828934717352,0.0659041175337396
"17",2014,0.218108875157588,0.22729277309237,0.505295162144125,0.231862042203868,0.234996998952886,0.35493446997901,0.0963707844813719,0.063865404785032,0.139482844719296,0.0430055650689267,0.0287038904030543,0.0703266071134335
"18",2015,0.254011649572098,0.24357185249403,0.514127174178813,0.251487348286983,0.281592274515814,0.43659504764004,0.0484356712255052,0.0796559066531212,0.165186765952949,0.0309186170173999,0.0437811799762831,0.0636779666720837
"19",2016,0.257537901306847,0.249276649347234,0.491178116957147,0.261757348190815,0.297667060160294,0.408405850169987,0.0809887687045452,0.082167503478096,0.177774679763296,0.057278447750466,0.0498930089160406,0.0847087179519099
"20",2017,0.293016497837139,0.263245360481691,0.543099439100011,0.236676929732189,0.327540502628775,0.433382476489365,0.0714573660819522,0.0765836913397661,0.139021378580782,0.0489568744472629,0.0454124729812079,0.129206394679762
"21",2018,0.270602274391392,0.296800112500815,0.563050346677596,0.290383940500837,0.352981682800876,0.481112466726622,0.080661545567146,0.0635625358804329,0.202323961287175,0.0519211401859927,0.0514015281403753,0.062836277780709
"22",2019,0.350727434835971,0.29350684355419,0.572217328854984,0.231735517262274,0.306355181437063,0.498487326066849,0.0549922626760066,0.0942355305502153,0.178036169191328,0.0549636510422049,0.0430061463643985,0.128429666787512
