"","year","mlowedu60","mmidedu60","mhighedu60","flowedu60","fmidedu60","fhighedu60","mlowedu65","mmidedu65","mhighedu65","flowedu65","fmidedu65","fhighedu65"
"1",1998,0.152881121271167,0.200364643487315,0.31986337376885,0.0610898211823393,0.106515215107891,0.191256511156261,0.044729447498547,0.0973733408096003,0.135641719981721,0.0133354948485428,0.0886695743460102,0.00951149810440969
"2",1999,0.240660469602893,0.252746704968319,0.367354413346421,0.0879555073058292,0.103542173528488,0.169831026560313,0.0632833996390371,0.0926581591602938,0.155290752926797,0.0140287186219324,0.0337313206018343,0.0529132369982031
"3",2000,0.197542440762082,0.27887295613765,0.364758597061504,0.098248642317232,0.172527853419406,0.174442456631064,0.0609184173446542,0.0581701598108672,0.0306876421376414,0.0215699179945427,0.0655855198097587,0.00730842492401226
"4",2001,0.213244342363677,0.264754516018085,0.348230521480314,0.0989319121819645,0.173966424098495,0.186157932572406,0.0751941311114719,0.108312659532859,0.150682712009798,0.0346333046359599,0.0554496094494788,0.195986735284607
"5",2002,0.270793616654072,0.300695886021201,0.415711851461953,0.105924117785918,0.168074502753835,0.284553310325169,0.1092644329984,0.104901698363832,0.199638087210869,0.0842134059098685,0.157728152694429,0.0557483908827521
"6",2003,0.260612671812032,0.347074043755767,0.461234060921044,0.109977744167115,0.188649659142347,0.280815313741371,0.0908743693256108,0.0990014361057805,0.131667626722324,0.0357626136065712,0.0933831755344871,0.0239718487067167
"7",2004,0.278452385036537,0.360420371675365,0.447289555643975,0.116836182947531,0.227877047811234,0.307522443719289,0.124005202717138,0.144066854085452,0.158333461690296,0.0574281245435267,0.0734103113234559,0.0308406498532432
"8",2005,0.289598490774231,0.322247433096485,0.432352117346182,0.134153038413267,0.222076033214876,0.343510476923698,0.116339849945499,0.132275691261667,0.174626398777514,0.0444366196573094,0.16351573716001,0.181124263211381
"9",2006,0.335023296912207,0.375211709833183,0.440924098082615,0.165544463604101,0.246117592941574,0.432013785905342,0.107422054781803,0.141607223981181,0.190690386267627,0.0390704088330602,0.076700423877328,0.115035850128219
"10",2007,0.342631511856464,0.389877230034867,0.4950741364349,0.159753010557991,0.251723588173067,0.372599225875579,0.127393880585792,0.132532904730912,0.204381011508124,0.0472795497300427,0.138048343115848,0.0655959895036241
"11",2008,0.387389372069814,0.448696069346971,0.541100525046907,0.179510239735211,0.313342640525484,0.446851282749502,0.169718489562989,0.162101247516751,0.20375918231181,0.0461283859498971,0.151258382903344,0.139629801241403
"12",2009,0.460436593794063,0.480197914652638,0.61423734155031,0.200951487738524,0.363962377521582,0.470573755226627,0.156261642758104,0.171312116767038,0.245113910293885,0.0565845813059085,0.111494083641929,0.202636735594984
"13",2010,0.465975209295813,0.51878133593841,0.648324895129965,0.263512361261952,0.420754130587045,0.56195834612098,0.198764693753399,0.170571967924682,0.244329058501082,0.161776239774841,0.107605344236653,0.209752345145856
"14",2011,0.488890935879364,0.535042304123495,0.669356932346209,0.293379697045968,0.459448430422071,0.544724068082104,0.177450489055443,0.200560926881078,0.285040898677374,0.114210038515237,0.13936086509134,0.242313714446139
"15",2012,0.544161538758801,0.557618352457475,0.699165007912414,0.323589624795879,0.419912486340983,0.576084443244356,0.189868841062069,0.253873587029265,0.22478459487995,0.0604973736578659,0.0774833347244213,0.107218150925275
"16",2013,0.545466896293747,0.600569768972825,0.693347680943465,0.359861213049914,0.494618262005118,0.620062149283247,0.209896413860612,0.206010200077565,0.321290791844343,0.0893440901765038,0.143895478249328,0.256482781360706
"17",2014,0.565405513884661,0.596831489346035,0.684233936475636,0.391168720519732,0.526506057619022,0.631014763506075,0.214681841178916,0.206005838871055,0.25955602570571,0.156372147094758,0.182186034239814,0.301190495169606
"18",2015,0.523692707074687,0.600611160370715,0.728410382210437,0.394042784508048,0.501182367534855,0.648507953161016,0.174697630761038,0.248239237377126,0.334121165394648,0.0916922547174178,0.121752550352983,0.192396237962457
"19",2016,0.607248073808029,0.669421580377357,0.743563562882804,0.4336693569509,0.5322334021769,0.6835897157818,0.248801808033591,0.315851223805141,0.342253983370129,0.12247840804417,0.171811389654717,0.263005786809004
"20",2017,0.610888979089101,0.640148158803696,0.726619581350686,0.435255364016544,0.554979996941143,0.664968608666102,0.226759597360971,0.238107235510915,0.293958654223186,0.20660719567226,0.229958369409733,0.355178514098712
"21",2018,0.734204300343062,0.720864034531311,0.772574214805891,0.424081382513551,0.591340769263239,0.675103642480012,0.328361672976251,0.338630979424031,0.415946681579182,0.220743642864501,0.232654777336186,0.317017578619774
"22",2019,0.680372621481059,0.736495073945999,0.775664054601045,0.441723026869959,0.596367224748871,0.694852185366941,0.341718990427982,0.362770907525592,0.369286371028824,0.188874583068114,0.246972291798543,0.277296201479869
